fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
rnb1k2r/pp3ppp/2pp1n2/2b1p3/2B1P3/1PN2N2/P1PP1PPP/R1B1K2R b KQkq - 0 7,34,0.01700,END,13,7,30,30,44,1,0,14.70,8
rn2k2r/pp3ppp/2pp1n2/2b1p3/2B1P1b1/1PN2N2/P1PP1PPP/R1B1K2R w KQkq - 1 8,-34,-0.01700,END,14,8,30,30,44,1,0,14.52,9
rn2k2r/pp3ppp/2pp1n2/2b1p3/2B1P1b1/1PN2N2/PBPP1PPP/R3K2R b KQkq - 2 8,36,0.01800,END,15,8,30,30,44,1,0,13.96,8
rn2k2r/pp3ppp/2pp1n2/4p3/1bB1P1b1/1PN2N2/PBPP1PPP/R3K2R w KQkq - 3 9,-21,-0.01050,END,16,9,30,30,44,1,0,16.02,10
3r1rk1/ppQ2ppp/2p1p3/3n4/3P4/2PB3P/PP3PP1/3R1RK1 b - - 0 21,4,0.00200,MID,41,21,29,20,35,0,0,12.98,9
3r1rk1/ppn2ppp/2p1p3/8/3P4/2PB3P/PP3PP1/3R1RK1 w - - 0 22,8,0.00400,END,42,22,20,20,34,1,0,13.74,9
3r1rk1/ppn2ppp/2p1p3/8/2BP4/2P4P/PP3PP1/3R1RK1 b - - 1 22,5,0.00250,END,43,22,20,20,34,1,0,13.75,10
3rr1k1/ppn2ppp/2p1p3/8/2BP4/2P4P/PP3PP1/3R1RK1 w - - 2 23,39,0.01950,END,44,23,20,20,34,1,0,12.99,10
3rr1k1/ppn2ppp/2p1p3/8/2BP4/2P4P/PP3PP1/3RR1K1 b - - 3 23,3,0.00150,END,45,23,20,20,34,1,0,12.99,10
3rrk2/ppn2ppp/2p1p3/8/2BP4/2P4P/PP3PP1/3RR1K1 w - - 4 24,2,0.00100,END,46,24,20,20,34,1,0,15.00,10
3rrk2/ppn2ppp/2p1p3/4R3/2BP4/2P4P/PP3PP1/3R2K1 b - - 5 24,12,0.00600,END,47,24,20,20,34,1,0,12.96,8
3rrk2/ppn3pp/2p1pp2/4R3/2BP4/2P4P/PP3PP1/3R2K1 w - - 0 25,40,0.02000,END,48,25,20,20,34,1,0,12.98,8
4Rrk1/pp4pp/6p1/2qP4/8/P1P4P/5PP1/R2Q2K1 b - - 0 24,-72,-0.03600,MID,47,24,25,19,27,0,0,15.78,11
4r1k1/pp4pp/6p1/2qP4/8/P1P4P/5PP1/R2Q2K1 w - - 0 25,179,0.08950,MID,48,25,20,19,26,0,0,16.03,11
4r1k1/pp4pp/6p1/2qP4/3Q4/P1P4P/5PP1/R5K1 b - - 1 25,-6,-0.00300,MID,49,25,20,19,26,0,0,14.06,10
4r1k1/pp2q1pp/6p1/3P4/3Q4/P1P4P/5PP1/R5K1 w - - 2 26,342,0.17100,MID,50,26,20,19,26,0,0,13.90,11
4r1k1/pp2q1pp/6p1/3P4/3Q4/P1P4P/5PP1/1R4K1 b - - 3 26,-236,-0.11800,MID,51,26,20,19,26,0,0,12.73,10
4r1k1/pp4pp/3q2p1/3P4/3Q4/P1P4P/5PP1/1R4K1 w - - 4 27,263,0.13150,MID,52,27,20,19,26,0,0,13.97,12
