fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
2r2rk1/pp3ppp/3b4/3N2q1/8/P2b4/1P3PPP/4Q2K b - - 1 24,2000,1.00000,MID,47,24,17,30,27,0,1,14.69,23
2r2rk1/pp3ppp/3b4/3q4/8/P2b4/1P3PPP/4Q2K w - - 0 25,-1039,-0.51950,MID,48,25,14,30,26,0,0,13.37,14
r4rk1/ppp3pp/2n2b2/3N4/8/3P4/PPP3PP/R1B2R1K b - - 0 18,-2,-0.00100,END,35,18,22,21,30,1,0,12.48,9
2r2rk1/ppp3pp/2n2b2/3N4/8/3P4/PPP3PP/R1B2R1K w - - 1 19,148,0.07400,END,36,19,22,21,30,1,0,15.00,12
2kr2nr/ppp2ppp/8/2b5/2N3N1/7P/PP3P2/R1B2R1K b - - 0 17,-199,-0.09950,END,33,17,23,22,29,1,0,14.71,11
2kr3r/ppp2ppp/5n2/2b5/2N3N1/7P/PP3P2/R1B2R1K w - - 1 18,210,0.10500,END,34,18,23,22,29,1,0,12.74,11
2kr3r/ppp2ppp/5N2/2b5/2N5/7P/PP3P2/R1B2R1K b - - 0 18,-280,-0.14000,END,35,18,23,19,28,1,0,13.51,10
2kr3r/ppp2p1p/5p2/2b5/2N5/7P/PP3P2/R1B2R1K w - - 0 19,284,0.14200,END,36,19,20,19,27,1,0,14.98,12
2kr3r/ppp2p1p/5p2/2b5/2N5/4B2P/PP3P2/R4R1K b - - 1 19,-318,-0.15900,END,37,19,20,19,27,1,0,14.96,13
2kr3r/ppp2p1p/5p2/8/2N5/4b2P/PP3P2/R4R1K w - - 0 20,342,0.17100,END,38,20,17,19,26,1,0,16.50,12
2kr3r/ppp2p1p/5p2/8/2N5/4P2P/PP6/R4R1K b - - 0 20,-220,-0.11000,END,39,20,17,16,25,1,0,13.91,9
2krr3/ppp2p1p/5p2/8/2N5/4P2P/PP6/R4R1K w - - 1 21,288,0.14400,END,40,21,17,16,25,1,0,15.50,10
r2qR1k1/p4p1p/1pp3p1/8/3P4/2P5/PP4PP/R2Q2K1 b - - 0 20,14,0.00700,MID,39,20,25,20,29,0,0,14.97,11
r3q1k1/p4p1p/1pp3p1/8/3P4/2P5/PP4PP/R2Q2K1 w - - 0 21,2,0.00100,MID,40,21,20,20,28,0,0,13.51,9
r3q1k1/p4p1p/1pp3p1/8/3P4/2P2Q2/PP4PP/R5K1 b - - 1 21,8,0.00400,MID,41,21,20,20,28,0,0,13.42,10
r3q1k1/p6p/1pp3p1/5p2/3P4/2P2Q2/PP4PP/R5K1 w - - 0 22,47,0.02350,MID,42,22,20,20,28,0,0,14.28,10
r3q1k1/p6p/1pp3p1/5p2/1P1P4/2P2Q2/P5PP/R5K1 b - - 0 22,12,0.00600,MID,43,22,20,20,28,0,0,15.32,9
r5k1/p6p/1pp3p1/5p2/1P1Pq3/2P2Q2/P5PP/R5K1 w - - 1 23,134,0.06700,MID,44,23,20,20,28,0,0,14.24,10
r5k1/p6p/1pp3p1/5p2/1P1PQ3/2P5/P5PP/R5K1 b - - 0 23,-96,-0.04800,MID,45,23,20,11,27,0,0,13.24,10
r5k1/p6p/1pp3p1/8/1P1Pp3/2P5/P5PP/R5K1 w - - 0 24,119,0.05950,END,46,24,11,11,26,1,0,14.71,10
3rkbnr/5ppp/p1n1p3/1b1p4/2pP4/2P1P3/1P1N1PPP/R1B1KBNR w KQk - 0 11,48,0.02400,END,20,11,29,29,40,1,0,15.32,9
3rkbnr/5ppp/p1n1p3/1b1p4/1PpP4/2P1P3/3N1PPP/R1B1KBNR b KQk b3 0 11,54,0.02700,END,21,11,29,29,40,1,0,15.32,9
3rkb1r/5ppp/p1n1pn2/1b1p4/1PpP4/2P1P3/3N1PPP/R1B1KBNR w KQk - 1 12,-47,-0.02350,END,22,12,29,29,40,1,0,13.38,8
3rkb1r/5ppp/p1n1pn2/1b1p4/1PpP1P2/2P1P3/3N2PP/R1B1KBNR b KQk - 0 12,100,0.05000,END,23,12,29,29,40,1,0,14.00,10
3rkb1r/5pp1/p1n1pn2/1b1p3p/1PpP1P2/2P1P3/3N2PP/R1B1KBNR w KQk - 0 13,-31,-0.01550,END,24,13,29,29,40,1,0,13.08,10
