fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
rn1qk1nr/1bppbpp1/pp2p2p/8/P1BPP3/2N5/1PP1NPPP/R1BQ1RK1 b kq - 0 7,-61,-0.03050,OPEN,13,7,39,39,46,0,0,13.90,10
r4rk1/1pnbbppp/p3p3/8/P7/4BN2/1PP1NPPP/R4RK1 w - - 0 17,-42,-0.02100,END,32,17,25,25,34,1,0,13.15,8
3r4/1pp3kp/1pn1B1p1/3p4/3Pp3/P1P3P1/1P1q1P1N/R4RK1 w - - 2 26,-366,-0.18300,MID,50,26,22,24,33,0,0,48.91,13
rnbq1rk1/ppp2ppp/5n2/3p4/3P4/2P2NP1/P3PP1P/R1BQKB1R w KQ - 0 8,13,0.00650,OPEN,14,8,35,35,40,0,0,13.96,11
rnb1kbnr/ppp2ppp/8/4p3/2P5/4P3/PP3PPP/RNBK1BNR b kq - 0 5,99,0.04950,END,9,5,29,29,40,1,0,14.51,10
r1b1k2r/pp3pp1/4pb2/nP2p3/P2p4/8/3N1PPP/3RKR2 b q - 0 20,795,0.39750,END,39,20,18,26,32,1,0,12.96,14
r2qkb1r/ppp2ppp/2np1n2/4p3/2P1P1b1/2NP1NP1/PP3P1P/R1BQKB1R b KQkq - 0 6,15,0.00750,OPEN,11,6,39,39,46,0,0,13.96,9
r3k3/1b3p1p/2p1p3/3nB3/p7/P4P2/1PP1B1PP/1K1R3R b q - 0 20,-622,-0.31100,END,39,20,22,16,29,1,0,13.54,14
2b1r3/2pp1pkp/5p2/1pb5/4P3/1BP2N2/rPQ3PP/5R1K b - - 5 26,-482,-0.24100,MID,51,26,25,22,30,0,0,12.56,10
r4r1k/1p4pp/p7/2pPb3/2B1P3/4B1pP/PP4P1/1R2R1K1 b - - 1 22,-475,-0.23750,END,43,22,22,19,31,1,0,13.61,13
8/6kp/2bb2p1/3p4/2pP2n1/2N5/1P2N1PP/qB3QK1 b - - 2 33,278,0.13900,MID,65,33,22,22,24,0,0,13.96,10
r4rk1/ppp3p1/7p/1P6/2P1P3/P2P1Q2/6Bq/R3K3 w - - 1 29,-502,-0.25100,MID,56,29,22,24,26,0,0,15.21,15
rnb1kbnr/ppqp2pp/2p2P2/8/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 5,-260,-0.13000,OPEN,9,5,39,37,42,0,0,14.96,11
rn2kbnr/pp3ppp/1q2p3/2pp1b2/2PP1B2/1Q2P3/PP3PPP/RN2KBNR w KQkq - 2 6,67,0.03350,OPEN,10,6,39,39,46,0,0,16.15,7
r1bq1rk1/pppnbppp/4pn2/6B1/2pPP3/2N2N2/PP2BPPP/R2Q1RK1 b - - 6 8,3,0.00150,OPEN,15,8,38,39,44,0,0,13.99,10
1r2r2k/1b3pb1/2p3p1/3pp2p/1P5P/1N1PN3/2P2PP1/2KRR3 b - - 0 24,168,0.08400,END,47,24,22,22,32,1,0,14.97,9
rn1qk1nr/ppp2ppp/8/3pP3/3P1pbb/5N2/PPP3P1/RNBQKB1R w KQkq - 0 7,-291,-0.14550,OPEN,12,7,37,39,42,0,0,14.23,11
r3kb1r/pp3ppp/4bn2/2p5/3n4/8/PP2PPPP/R1BNKBNR w KQkq - 1 11,-190,-0.09500,END,20,11,28,28,36,1,0,16.31,12
3r4/5kpp/1p3p2/p1p1b1B1/P3N3/2P3P1/5P1P/5RK1 w - - 0 35,319,0.15950,END,68,35,16,14,27,1,0,14.96,12
r1bqkb1r/ppp2pp1/2n1p2p/3pPn2/3P4/2N2N2/PPP1BPPP/R1BQK2R w KQkq - 2 7,107,0.05350,OPEN,12,7,39,39,46,0,0,13.96,10
r6r/bppk2pp/p5b1/P4p2/1P1p4/3P1B1P/5PP1/R3Q1K1 w - - 1 22,524,0.26200,MID,42,22,23,23,33,0,0,13.58,13
1b3rk1/5ppp/4p3/P2q4/2RP4/1NB4P/5PP1/1R4K1 w - - 3 28,-27,-0.01350,MID,54,28,21,21,25,0,0,13.96,10
6k1/5pp1/p7/1p4B1/8/8/5r2/5K2 w - - 0 35,-295,-0.14750,END,68,35,3,9,10,1,0,25.93,8
rnb1kbnr/ppp1pppp/8/8/3q4/2N5/PP1PPPPP/R1BQKBNR w KQkq - 2 4,197,0.09850,OPEN,6,4,38,38,42,0,0,13.03,10
r4rk1/pp2ppb1/2np1npp/2p5/2B4P/PP1PP3/2P2P2/R1B1K1R1 b Q - 2 17,693,0.34650,END,33,17,23,27,39,1,0,13.48,14
r1b4R/pp1n1kp1/2pN4/4p3/6p1/2P1P1B1/PP3PP1/R3K3 b Q - 2 20,-722,-0.36100,END,39,20,22,17,31,1,0,14.52,15
2kr1b1r/ppp3p1/8/6q1/3p4/5PPp/PPP4P/4RQ1K w - - 2 24,-773,-0.38650,MID,46,24,20,28,30,0,0,12.97,13
r1bqkbnr/pp3ppp/4p3/n1pP4/2B5/2NP4/PPP2PPP/R1BQK1NR w KQkq - 1 6,263,0.13150,OPEN,10,6,39,38,44,0,0,15.72,13
2k1r3/1bp4p/1p1pN1p1/3P1p2/1PP5/4rP1P/2K1P3/R3R3 w - - 0 27,172,0.08600,END,52,27,19,19,30,1,0,13.99,9
r1bqk2r/p3ppbp/2pp1np1/2p5/4P3/2NP1N2/PPPBQPPP/R3K2R b KQkq - 3 8,57,0.02850,OPEN,15,8,36,36,44,0,0,13.96,10
2kr3r/1pp1b3/p1n5/3p1N2/3P1P1P/2P3B1/PP4P1/R3K2R b KQ - 0 23,-393,-0.19650,END,45,23,23,20,30,1,0,13.64,14
5rk1/p1R3pp/2p2p2/3p4/1P6/7P/5PP1/6K1 b - - 0 26,141,0.07050,END,51,26,9,11,22,1,0,13.96,11
